句子编号,情感极性,情感类型,情感强度,情感关键词,Intensity_norm,Intensity_polarized,Polarity_num,Emotional Types,Neutral_Polarity,Positive_Polarity,Negative_Polarity,小说编号
29,中,无奈,3,查理、停住、闻不到气味,0.25,0.0,0.0,Disap,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
30,负,恐惧,6,多多、法老王、头冒冷汗,0.625,-0.625,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
31,正,谨慎,5,查理、动耳朵、没有声音,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
32,中,警告,4,查理、正色、不要大意,0.375,0.0,0.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
33,负,着急,7,查理、急切吠叫、咬裤脚,0.75,-0.75,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
34,负,冷漠,6,小伙伴、查理、陌生人,0.625,-0.625,2.0,Calm,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
35,负,着急,7,查理、热锅蚂蚁、疯狂吠叫,0.75,-0.75,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
36,负,恐惧,8,婷婷、朦胧眼睛、没有影子,0.875,-0.875,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
37,负,恐惧,8,守护神、狰狞、围拢,0.875,-0.875,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
38,负,惊恐,9,查理、狂吠、黑猫、扑向多多,1.0,-1.0,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
39,负,痛苦,7,查理、呜咽、痛极了,0.75,-0.75,2.0,Sad,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
40,负,震惊,7,刀疤少年、雪莉、死掉三年,0.75,-0.75,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
41,正,好奇,5,南翎、黑猫、咬死眼镜王蛇,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
42,中,紧张,4,多多、查理、冲向展厅,0.375,0.0,0.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
43,负,困惑,6,小伙伴、雪莉、亡灵,0.625,-0.625,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
44,正,专注,5,查理、伸出脑袋、审视字条,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
45,正,机智,6,多多、查理、提示,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
46,负,惊讶,6,小伙伴、南翎、地狱邀请函,0.625,-0.625,2.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
47,正,期待,5,虎鲨、讨好、查理、代理队长,0.5,0.5,1.0,Hop,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
48,正,坚定,5,婷婷、鼓起勇气、一鼓作气,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
49,正,支持,4,查理、吠叫、支持,0.375,0.375,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
50,负,困惑,5,南翎、冒险队、查理老大,0.5,-0.5,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
51,正,着急,6,多多、查理、办法,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
52,正,机智,6,查理、窗台、叫唤,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
53,正,好奇,5,多多、查理、窗户编号,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
54,正,调侃,4,查理、嗤笑声、突然问,0.375,0.375,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
55,正,坚定,5,多多、查理、留下,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
56,负,担忧,7,查理、焦虑、隐藏秘密,0.75,-0.75,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
57,负,惊讶,7,多多、查理、害怕,0.75,-0.75,2.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
58,正,调侃,5,查理、多多、抱错狗,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
59,正,调侃,5,多多、查理、老大位子,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
60,负,警告,6,查理、翻白眼、警告,0.625,-0.625,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
61,正,期待,5,查理、墨多多、成长,0.5,0.5,1.0,Hop,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
62,正,坚定,5,查理、示意、计划,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
63,正,信任,4,查理、多多、附耳、计划,0.375,0.375,1.0,Tru,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
64,正,安心,4,小伙伴、打电话、养精蓄锐,0.375,0.375,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
65,正,专注,5,查理、扶幽、电路图,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
66,正,好奇,5,查理、扶幽、电路图,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
67,正,自信,5,查理、点头、技术,0.5,0.5,1.0,Tru,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
68,正,满意,5,扶幽、完成、小道具,0.5,0.5,1.0,Sat,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
69,正,警惕,6,查理、观察、四周,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
70,中,轻松,3,虎鲨、缓解气氛、忘得一干二净,0.25,0.0,0.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
71,负,紧张,7,查理、停下脚步、盯住走廊,0.75,-0.75,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
72,正,冷静,6,查理、声音、不要等南翎,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
73,正,好奇,5,多多、查理、为什么,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
74,正,自信,6,查理、手机、报警电话,0.625,0.625,1.0,Tru,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
75,正,坚定,6,查理、分组行动,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
76,正,自信,5,查理、解释、有说服力,0.5,0.5,1.0,Tru,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
77,正,信任,5,伙伴、查理、分组,0.5,0.5,1.0,Tru,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
78,正,坚定,5,小组、分工、行动,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
79,正,专注,5,查理、多多、侦查,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
80,负,焦虑,6,查理、多多、距离遥远,0.625,-0.625,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
81,负,害怕,7,多多、抱紧查理、颤抖,0.75,-0.75,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
82,正,警惕,6,查理、尖牙、注视,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
83,负,害怕,7,多多、苍白脸、颤抖,0.75,-0.75,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
84,负,焦虑,6,查理、责备、讲鬼故事,0.625,-0.625,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
85,负,焦虑,6,多多、查理、中了招,0.625,-0.625,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
86,负,愤怒,7,查理、低吼、咬手臂,0.75,-0.75,2.0,Ang,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
87,负,困惑,6,多多、查理、迷茫,0.625,-0.625,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
88,负,惊恐,8,查理、多多、女亡灵,0.875,-0.875,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
89,负,震惊,8,多多、查理、南翎、真相,0.875,-0.875,2.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
90,负,愤怒,7,查理、攻击、女亡灵,0.75,-0.75,2.0,Ang,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
91,负,恐惧,7,多多、索提斯夫人、死,0.75,-0.75,2.0,Fear,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
92,负,绝望,8,多多、哭喊、要死,0.875,-0.875,2.0,Disap,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
93,负,困惑,7,多多、查理、首饰盒奥秘,0.75,-0.75,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
94,正,惊讶,7,多多、查理、出现,0.75,0.75,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
95,正,自信,6,查理、吠叫、驯服宠物,0.625,0.625,1.0,Tru,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
96,正,紧张,7,扶幽、婷婷、虎鲨、营救,0.75,0.75,1.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
97,正,勇敢,8,多多、颤抖、换心脏,0.875,0.875,1.0,Sat,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
98,正,坚定,7,多多、查理、点头,0.75,0.75,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
99,负,紧张,7,多多、颤抖、站定,0.75,-0.75,2.0,Anx,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
100,正,愤怒,8,查理、木乃伊、低低吠,0.875,0.875,1.0,Ang,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
101,正,自豪,6,多多、查理、名声大噪,0.625,0.625,1.0,Pri,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
102,正,骄傲,6,查理、名声大噪、破谜者,0.625,0.625,1.0,Pri,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
103,正,尊重,5,查理、行礼、破谜者,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
104,正,骄傲,6,查理、神秘一笑、徽章,0.625,0.625,1.0,Pri,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
105,正,认真,5,查理、解释、世界冒险协会,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
106,正,惊喜,6,小伙伴、徽章、惊喜,0.625,0.625,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
107,正,期待,6,查理、积分、加油,0.625,0.625,1.0,Hop,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
108,正,调侃,5,多多、查理、玩具,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
109,正,好奇,5,南翎、斯特、说话,0.5,0.5,1.0,Surp,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
110,正,感慨,5,南翎、斯特、古埃及艳后,0.5,0.5,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
111,正,亲密,4,斯特、蹭、查理、晕乎乎,0.375,0.375,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
112,正,调皮,4,查理、喃喃、不洗泡泡浴,0.375,0.375,1.0,,0.0415841584158415,0.5564356435643565,0.401980198019802,B18
1,负,悲伤,8,激烈，尸体，染红,0.875,-0.875,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
2,中,,3,插队，健在,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
3,正,信任,5,混得很熟，朋友,0.5,0.5,1.0,Tru,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
4,负,悲伤,6,衰老，打瞌睡，脱水柠檬,0.625,-0.625,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
5,负,悲伤,7,落山，熄灭，黄泉路,0.75,-0.75,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
6,负,悲伤,5,半昏迷，状态,0.5,-0.5,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
7,正,惊讶,6,惊讶，清醒,0.625,0.625,1.0,Surp,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
8,中,,4,拗不过，帮忙,0.375,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
9,正,希望,5,精神好转，想吃东西,0.5,0.5,1.0,Hop,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
10,负,愤怒,6,打泼，践踏，赌气,0.625,-0.625,2.0,Ang,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
11,负,愤怒,5,挑得稀巴烂,0.5,-0.5,2.0,Ang,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
12,负,焦虑,6,焦躁不安，吼叫,0.625,-0.625,2.0,Anx,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
13,中,,3,破篾席，灰尘,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
14,负,愤怒,4,踢，破玩意儿,0.375,-0.375,2.0,Ang,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
15,中,,3,运回，解下,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
16,负,悲伤,6,二十六年，忘得一干二净,0.625,-0.625,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
17,中,,4,挑起，甩，捆扎,0.375,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
18,中,,3,费劲，置上,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
19,负,焦虑,5,迷惑不解,0.5,-0.5,2.0,Anx,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
20,负,悲伤,7,离开，象冢，伤感,0.75,-0.75,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
21,中,,3,听说过，传说,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
22,负,焦虑,5,没必要，沉重,0.5,-0.5,2.0,Anx,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
23,负,失望,4,说不清，小气鬼,0.375,-0.375,2.0,Disap,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
24,正,欣赏,5,慷慨，厚道,0.5,0.5,1.0,Tru,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
25,正,欣赏,6,卷着，撕下来，慷慨,0.625,0.625,1.0,Tru,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
26,正,欣赏,7,高级情感,0.75,0.75,1.0,Tru,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
27,正,希望,5,劝慰，常情,0.5,0.5,1.0,Hop,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
28,负,羞愧,6,发一笔财，捡象牙,0.625,-0.625,2.0,Sha,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
29,负,羞愧,5,做贼，不地道,0.5,-0.5,2.0,Sha,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
30,负,焦虑,4,犹豫，沉默,0.375,-0.375,2.0,Anx,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
31,中,,3,看穿，心思,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
32,中,,3,不要，对得起,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
33,正,希望,6,发财梦，何乐而不为,0.625,0.625,1.0,Hop,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
34,中,,3,白纱巾，路标,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
35,负,焦虑,5,荒无人烟，藏有象冢,0.5,-0.5,2.0,Anx,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
36,正,骄傲,8,惊天地泣鬼神，肃然起敬,0.875,0.875,1.0,Pri,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
37,中,,3,直奔，象冢,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
38,中,,3,停下来,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
39,负,悲伤,6,埋葬，挖坑，掩埋,0.625,-0.625,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
40,中,,3,咬着，耳朵,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
41,中,,3,石碑，烫金大字,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
42,负,恐惧,6,困惑，紧皱眉头,0.625,-0.625,2.0,Fear,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
43,负,悲伤,7,一寸一寸，下沉,0.75,-0.75,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
44,中,,3,耐心，壮着胆子,0.25,0.0,0.0,,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
45,负,恐惧,7,报应，起火，咬死,0.75,-0.75,2.0,Fear,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
46,正,骄傲,6,枉披人皮，不捡象牙,0.625,0.625,1.0,Pri,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
47,负,悲伤,5,疲惫不堪，填满夯实,0.5,-0.5,2.0,Sad,0.1739130434782608,0.266304347826087,0.5597826086956522,B01
1,负,恐惧,5,不安，张望，啸叫,0.5,-0.5,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
2,中,,1,只有，外出，觅食,0.0,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
3,负,恐惧,6,暴露，视界内,0.625,-0.625,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
4,负,愤怒,7,跳出，抖动，攻击，鸣叫,0.75,-0.75,2.0,Ang,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
5,中,,2,盘旋，降落，停栖,0.125,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
6,正,安慰,5,拍打，安慰，别怕,0.5,0.5,1.0,Calm,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
7,负,愤怒,6,恼火，埋怨，窝囊废,0.625,-0.625,2.0,Ang,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
8,负,恐惧,6,尖啸，逃向远方,0.625,-0.625,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
9,负,恐惧,6,警惕，啸叫，搏杀,0.625,-0.625,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
10,正,欣赏,6,金绒羽，白斑，高贵,0.625,0.625,1.0,Tru,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
11,正,欣赏,4,起名，贵夫人,0.375,0.375,1.0,Tru,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
12,正,信任,5,负责，觅食，共享,0.5,0.5,1.0,Tru,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
13,正,关爱,6,撑开，腹部，贴，卵,0.625,0.625,1.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
14,正,关爱,5,孵卵抱窝,0.5,0.5,1.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
15,负,失望,5,失望，缩，气馁,0.5,-0.5,2.0,Disap,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
16,正,好奇,4,打量，对叫,0.375,0.375,1.0,Surp,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
17,负,愤怒,7,啸叫，怒视，责怪,0.75,-0.75,2.0,Ang,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
18,负,恐惧,6,吃惊，缩，腾空升高,0.625,-0.625,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
19,正,支持,5,站起来，啸叫，声援,0.5,0.5,1.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
20,负,恐惧,6,悻悻，远走高飞,0.625,-0.625,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
21,中,,2,专心致志，聚精会神,0.125,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
22,负,愤怒,7,站起来，啸叫，吓跑,0.75,-0.75,2.0,Ang,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
23,负,谄媚,6,伸出脑袋，蓬松，鸣叫,0.625,-0.625,2.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
24,中,,3,掠过，扭头，不理睬,0.25,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
25,中,,3,友善，轻柔,0.25,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
26,中,,2,宽广，郁郁葱葱，自由,0.125,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
27,中,,3,推算，产蛋，开始抱窝,0.25,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
28,负,恐惧,5,警觉，张望,0.5,-0.5,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
29,负,恐惧,6,啸叫，蹿出来，盘旋,0.625,-0.625,2.0,Fear,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
30,负,愤怒,7,逼近，怒视，跃跃欲啄,0.75,-0.75,2.0,Ang,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
31,负,愤怒,7,敛翅膀，咬空，洒向空中,0.75,-0.75,2.0,Ang,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
32,正,勇敢,6,撑开，拉到，上方,0.625,0.625,1.0,Sat,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
33,正,勇敢,7,伸出，抓住，拽下来,0.75,0.75,1.0,Sat,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
34,负,痛苦,6,扭动，昂蹿，咬,0.625,-0.625,2.0,Sad,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
35,正,勇敢,7,松开，摔进，颓然垂,0.75,0.75,1.0,Sat,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
36,正,骄傲,7,高傲，啸叫，流星似的,0.75,0.75,1.0,Pri,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
37,中,满足,4,啄食，遍体鳞伤,0.375,0.0,0.0,Sat,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
38,中,,3,济困救难，本能，冲动,0.25,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
39,正,感激,6,借助，抵御，侵害,0.625,0.625,1.0,Grat,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
40,正,关爱,6,蹭动，调整，轻柔的鸣叫,0.625,0.625,1.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
41,正,喜悦,7,钻出来，降临，世界,0.75,0.75,1.0,Joy,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
42,正,关爱,7,反刍，喂养，遮挡,0.75,0.75,1.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
43,正,满足,5,小心翼翼，跨出，享用,0.5,0.5,1.0,Sat,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
44,中,好奇,4,目不转睛，盯着，等待,0.375,0.0,0.0,Surp,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
45,正,喜悦,6,钻出来，辨识，新生,0.625,0.625,1.0,Joy,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
46,中,谄媚,5,夸张，演戏，瞟,0.5,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
47,中,淡然,3,慢条斯理，啄食，无所谓,0.25,0.0,0.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
48,正,庆祝,5,表演，交换位置，重复,0.5,0.5,1.0,,0.1293436293436293,0.3542471042471042,0.5164092664092664,B02
